matricul	departem	ptvente	sexe	age	sitfamil	anciente	csp	codeqlt	nbimpaye	mtrejet	nbopguic	moycred3	aveparmo	endette	engagemt	engagemc	engagemm	nbcptvue	moysold3	moycredi	agemvt	nbop	mtfactur	engageml	nbvie	mtvie	nbeparmo	mteparmo	nbeparlo	mteparlo	nblivret	mtlivret	nbeparlt	mteparlt	nbeparte	mteparte	nbbon	mtbon	nbpaiecb	nbcb	nbcbptar	avtscpte	aveparfi	sexer	cartevpr	nbjdebit
148009	31	1	1	51	1	238	1	1	0	0	0	115	701939	4	119216	0	119216	2	35938	114	11	49	206016	0	1	152530	4	701939	2	520145	2	181794	0	0	0	0	0	0	14	2	0	1303700	556967	0	1	1
442153	82	6	1	52	1	270	1	1	0	0	4	19579	8920	0	0	0	0	1	132468	4079	11	50	98500	0	0	0	3	19508920	2	8920	0	0	0	0	0	0	1	19500000	5	2	0	19856243	133896	0	1	0
552427	97	1	1	58	1	139	1	3	0	0	0	40	3402	0	0	0	0	1	1336	40	14	2	3394	0	0	0	1	3402	0	0	1	3402	0	0	0	0	0	0	0	1	0	122745	0	0	1	0
556005	40	1	1	27	2	99	3	2	0	0	0	17	76321	0	0	0	0	1	12221	17	11	23	0	0	0	0	3	76321	1	46312	2	30009	0	0	0	0	0	0	14	2	0	83224	0	0	1	0
556686	65	1	1	49	5	89	2	1	0	0	0	374	473350	0	209062	37859	171203	1	21187	208	11	49	0	0	1	21423	5	473350	3	399999	2	73351	0	0	0	0	0	0	11	3	1	494773	21423	0	1	15
642680	65	1	1	64	1	216	1	1	0	0	5	24	78462	0	0	0	0	1	7154	24	11	67	0	0	0	0	4	78462	1	34820	2	9803	1	33839	0	0	0	0	27	1	0	81218	0	0	1	3
643508	65	1	1	38	2	188	2	3	0	0	2	26	0	5	28823	28823	0	1	7122	26	14	36	42649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	14706	0	0	1	13
808224	31	1	0	46	1	135	1	1	0	0	2	40	96856	0	0	0	0	2	6531	24	11	51	0	0	0	0	2	96856	1	38775	1	58081	0	0	0	0	0	0	27	3	0	105333	0	1	1	35
941007	31	1	1	45	1	393	4	1	0	0	1	55	266391	0	0	0	0	1	83717	38	11	39	20500	0	0	0	2	266391	2	266391	0	0	0	0	0	0	0	0	15	2	0	310878	1452	0	1	0
1231602	31	1	1	60	1	321	1	1	0	0	2	47	154268	0	1277	1277	0	1	9994	44	11	80	0	0	0	0	4	154268	1	20246	2	79542	1	54480	0	0	0	0	11	1	0	174968	20200	0	1	6
